id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.16,2376652956,53,2376652956.0,40176246.0,1.16,1.16,-0.00100500599372344,-0.0866,-414650375.92789555,-14.85508,2049628605.014753,2049628605.014753,,1.29,-10.16458,2025-01-29T17:52:32.991Z,1.012,14.56454,2024-04-03T14:23:03.162Z,,2025-03-28T09:26:22.019Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,253.61,2161687019,54,5323602988.0,93148850.0,277.29,252.1,-12.115946634988774,-4.55959,-102717513.87076521,-4.53618,8527200.0,21000000.0,21000000.0,757.6,-66.54141,2024-03-07T18:45:36.466Z,30.83,722.19973,2023-05-14T08:57:53.732Z,,2025-03-28T09:26:19.320Z
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,10.49,2097206701,55,10486034731.0,486503514.0,11.47,10.48,-0.9730546016459662,-8.48944,-195493791.96425486,-8.52679,199999976.636,1000000000.0,1000000000.0,73.43,-85.71095,2025-01-19T11:50:34.806Z,4.29,144.54286,2025-01-18T03:40:29.231Z,,2025-03-28T09:26:13.221Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.02436478,2095229712,56,2095229712.0,69672465.0,0.02643756,0.02432934,-0.001975911765045996,-7.50137,-170893971.74496174,-7.54125,85985041177.0,85985041177.0,86712634466.0,0.280991,-91.34587,2021-04-19T01:08:21.675Z,0.00191713,1168.42161,2020-03-13T02:29:59.652Z,"{'times': 3.4671442569562867, 'currency': 'eth', 'percentage': 346.7144256956287}",2025-03-28T09:26:22.845Z
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,3.62,2079182057,57,4027787522.0,98912080.0,3.8,3.61,-0.15770705246304884,-4.17238,-86184881.09876609,-3.98015,573452431.622742,1110890958.903765,,20.85,-82.62308,2024-02-10T14:30:02.495Z,2.08,73.90159,2023-10-31T15:14:31.951Z,,2025-03-28T09:26:23.650Z
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.391897,2071499424,58,5878331207.0,219043080.0,0.438534,0.390635,-0.038768960633389415,-9.0021,-199864714.11946154,-8.79933,5285937500.0,15000000000.0,,1.52,-74.17828,2024-04-11T13:15:15.057Z,0.195078,100.89235,2024-09-06T21:04:48.253Z,,2025-03-28T09:26:23.201Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.58,2024108705,59,2024150534.0,117240260.0,4.88,4.56,-0.28039393103163857,-5.77216,-122419384.76052237,-5.70313,442336579.732258,442345720.772444,,44.45,-89.73109,2022-01-17T00:34:41.497Z,1.16,293.45649,2020-03-13T02:27:44.591Z,"{'times': 44.77299828633521, 'currency': 'usd', 'percentage': 4477.299828633521}",2025-03-28T09:26:21.623Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,1959505177,60,1959505177.0,0.0,1.0,1.0,0.0,0.0,4228066.0,0.21624,1959505176.61,1959505176.61,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-03-28T09:20:02.925Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,3.72,1923918660,61,1978769853.0,188391952.0,4.0,3.71,-0.2332425989447824,-5.90556,-120958781.41276026,-5.91521,517716590.0562826,532476763.3362826,,13.53,-72.56159,2024-03-17T16:30:24.636Z,0.03665669,10031.04121,2020-06-16T13:22:25.900Z,,2025-03-28T09:26:15.699Z
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,2.87,1856454032,63,5631781746.0,123965778.0,3.05,2.86,-0.16515109999833566,-5.43372,-106240521.86648393,-5.41299,645958060.0,1959593261.0,1959593261.0,236.84,-98.78786,2021-04-01T13:29:41.564Z,2.48,15.88246,2025-03-11T01:10:57.279Z,,2025-03-28T09:26:23.207Z
